distanceDiff,timeDiff,
10.4311,4.83515,
19.921,9.5201,
0.565056,0.271544,
1.66233,0.829837,
26.6717,13.7552,
7.10194,3.68598,
1.23207,0.668156,
17.4955,9.54854,
26.4277,15.1275,
28.282,16.9105,
3.80867,2.29314,
20.4044,12.3689,
2.62504,1.61394,
10.7354,6.65778,
31.1116,19.4081,
3.58623,1.64309,
20.6997,9.48389,
2.70627,1.24353,
3.9291,1.80018,
3.06081,1.40525,
22.7219,10.4439,
18.2146,8.56168,
10.612,5.03736,
7.99499,3.79526,
4.76986,2.26585,
8.48014,4.04761,
2.71381,1.24338,
3.03241,1.41457,
1.20095,0.560351,
20.0879,9.63325,
8.53035,3.90832,
0.900438,0.414827,
12.1323,5.86743,
10.7418,4.92153,
0.259357,0.1242,
5.57151,2.76663,
17.898,9.17855,
5.43504,2.81634,
35.6977,19.1948,
12.2274,5.60219,
3.57937,1.65354,
8.52261,3.96448,
9.19284,4.21185,
5.51315,2.6074,
8.79035,4.27706,
17.5577,8.04433,
44.4824,20.5814,
21.4708,10.3569,
23.3318,11.2955,
3.33022,1.69367,
19.0212,9.74779,
3.92157,2.09594,
0.720053,0.394588,
18.4483,10.6654,
31.9606,18.8945,
1.14309,0.699585,
1.37679,0.881175,
2.82604,1.83509,
43.7098,28.679,
10.9684,5.02534,
39.5605,18.1253,
7.46485,3.58911,
21.1475,10.5509,
4.89123,2.48182,
38.9851,19.82,
6.50236,2.97916,
15.4574,7.08207,
14.9928,7.09347,
39.6248,18.8617,
0.114443,0.0524339,
3.44242,1.58084,
3.26374,1.57346,
1.42116,0.651126,
40.9451,18.8209,
6.84342,3.27392,
4.2956,1.9681,
10.2312,4.76608,
1.91511,0.92797,
1.13786,0.557169,
3.09215,1.59073,
35.0706,18.1444,
5.99461,2.74653,
0.0205422,0.00972007,
18.9061,8.95564,
23.7666,11.415,
3.01364,1.45286,
6.84588,3.13655,
0.928486,0.429369,
5.00936,2.36094,
3.93247,1.86843,
25.6588,12.5949,
9.62585,4.81118,
12.8278,5.87727,
18.5282,8.51848,
12.2306,5.69677,
21.0974,9.66613,
5.41166,2.49268,
7.55538,3.63307,
3.51324,1.60965,
11.6141,5.32156,
24.8474,11.7089,
4.2919,2.03237,
13.3731,6.36186,
11.9754,5.48673,
18.5708,8.53841,
11.507,5.36546,
11.7085,5.50542,
6.91864,3.2645,
4.7167,2.23578,
14.897,7.08365,
3.50047,1.66645,
13.2915,6.38894,
7.62331,3.70529,
39.3024,20.0157,
2.5761,1.18028,
5.84937,2.77888,
10.7142,4.90888,
0.0359022,0.0172708,
11.0523,5.33007,
31.8439,14.5898,
28.3718,13.6377,
5.04026,2.43534,
33.9503,16.462,
4.71924,2.37619,
2.8773,1.31828,
2.3872,1.09468,
4.07048,1.9538,
3.76868,1.85573,
9.96057,5.12564,
23.1599,11.9382,
20.2172,9.26282,
5.52475,2.53282,
29.6404,14.0406,
8.49538,4.04335,
4.55834,2.17962,
0.254949,0.124681,
24.3471,11.931,
5.42807,2.67357,
4.81175,2.48461,
0.0792748,0.0412163,
3.61207,1.97286,
34.3209,15.7247,
12.0556,5.77752,
14.3812,7.12906,
25.6182,13.036,
5.23479,2.66562,
21.5657,9.88068,
8.00288,3.6759,
15.6405,7.19787,
0.436774,0.203608,
10.2183,4.77485,
6.71558,3.28831,
7.38808,3.74138,
30.5445,15.5972,
0.946219,0.484344,
1.00861,0.519466,
8.61364,4.51883,
5.76839,3.15312,
1.49765,0.821217,
21.2918,11.6869,
2.68668,1.54598,
17.8114,10.2596,
38.1338,17.4716,
6.57632,3.01766,
2.09023,0.978392,
8.74169,4.00515,
0.264178,0.121144,
11.6158,5.57965,
1.7179,0.850707,
9.95562,4.56133,
1.34231,0.645123,
4.81239,2.4294,
1.5086,0.785725,
11.2537,5.91074,
18.8111,9.96759,
0.68962,0.382903,
