nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
45.4741,404,0,
49.9396,424,0,
47.9957,414,0,
51.7283,432,0,
50.7291,430,0,
51.7443,434,0,
45.0336,403,0,
46.9013,412,0,
49.9171,423,0,
47.69,416,0,
53.3577,440,0,
52.0905,434,0,
51.6419,434,0,
49.7857,426,0,
54.8131,444,0,
48.9372,420,0,
51.7389,433,0,
50.0163,429,0,
49.5016,420,0,
52.3661,434,0,
53.9465,446,0,
49.1044,418,0,
49.0038,419,0,
50.2877,430,0,
54.8759,450,0,
54.2585,448,0,
47.1255,410,0,
45.3994,404,0,
54.9248,446,0,
49.7311,423,0,
47.4275,416,0,
54.9071,449,0,
48.4098,416,0,
53.2021,441,0,
47.8491,415,0,
53.3304,438,0,
47.1602,410,0,
51.3987,435,0,
53.5127,444,0,
51.4817,435,0,
48.5521,420,0,
46.2245,404,0,
48.6106,422,0,
48.6332,424,0,
45.6958,409,0,
49.2374,423,0,
49.9085,425,0,
51.7204,433,0,
52.5547,438,0,
